n,bubble,merge,quick
100,0.00018932000093627722,6.0360001225490126e-05,4.040999992867e-05
500,0.004726989998744102,0.00037776999961351975,0.0002861100008885842
1000,0.02185592000023462,0.0008398499987379183,0.0006959599995752797
2000,0.091839070001879,0.001824869999109069,0.0014443299995036795
5000,0.6178747600009956,0.005165919999126345,0.003988139998546103
10000,2.4973334799979057,0.010729839999112301,0.008742609999171692
